,genre
1141,shatta
1142,zouk riddim
1143,gothenburg hip hop
1144,mexican edm
1145,viral pop brasileiro
1146,rap baiano
1147,trap baiano
1148,deep rai
1149,morelos indie
1150,boston hip hop
1151,ukrainian pop
1152,rkt
1153,chinderlieder
1154,nantes indie
1155,kenyan pop
1156,portuguese indie
1157,comedy rap
1158,rap romantico
1159,rap rock
1160,trance brasileiro
1161,singaporean hip hop
1162,new americana
1163,comic
1164,anime
1165,ukg revival
1166,rap espanol
1167,norrlandsk hip hop
1168,chinese jazz
1169,dark clubbing
1170,soca
1171,dutch r&b
1172,electronica
1173,psychedelic hip hop
1174,vlaamse rap
1175,channel pop
1176,thai idol
1177,drill espanol
1178,taiwanese indie
1179,gypsy jazz
1180,venezuelan hip hop
1181,turkce drill
1182,tunisian pop
1183,trap venezolano
1184,brega romantico
1185,forro de favela
1186,german singer-songwriter
1187,rap ivoire
1188,classic cantopop
1189,r&b italiano
1190,indonesian viral pop
1191,czech pop
1192,greek pop
1193,laiko
1194,belgian rock
1195,lovers rock
1196,pop teen brasileiro
1197,nz christian
1198,lithuanian pop
1199,slovenian pop
1200,classic belgian pop
1201,tech house
1202,ragga jungle
1203,experimental r&b
1204,trip hop
1205,trap mexicano
1206,electroclash
1207,bachata dominicana
1208,metal
1209,romanian rock
1210,ethereal gothic
1211,pinoy singer-songwriter
1212,jump blues
1213,funk 150 bpm
1214,pop virale italiano
1215,asian american hip hop
1216,polish indie
1217,dream smp
1218,uk drill
1219,brazilian percussion
1220,nova musica paulista
1221,pinoy pop punk
1222,uppsala indie
1223,oc rap
1224,houston rap
1225,post-punk
1226,uk post-punk
1227,russian hip hop
1228,russian alt pop
1229,russian trap
1230,belo horizonte indie
1231,musik anak-anak
1232,arab trap
1233,battle rap
1234,rap feminino nacional
1235,musica gaucha
1236,rock nacional
1237,swiss rock
1238,zouglou
1239,voetbal
1240,irish hip hop
1241,bases de freestyle
1242,indian edm
1243,nottingham hip hop
1244,polish post-punk
1245,west coast trap
1246,gaming dubstep
1247,electro bailando
1248,dark trap
1249,reggae en espanol
1250,lo star
1251,sudanese pop
1252,argentine indie
1253,trap funk
1254,trap chileno
1255,manguebeat
1256,pop rock brasileiro
1257,rock mineiro
1258,rock nacional brasileiro
1259,flamenco guitar
1260,nuevo flamenco
1261,cancion melodica
1262,tejano
1263,taiwan classical performance
1264,cologne indie
1265,rautalanka
1266,australian house
1267,funk bh
1268,musica catalana
1269,reggae catala
1270,chicago drill
1271,swiss trap
1272,cumbia boliviana
1273,finnish progressive metal
1274,progressive thrash
1275,taiwan idol pop
1276,classic arab pop
1277,lagu timur
1278,speedrun
1279,video game music
1280,sung poetry
1281,polish indie rock
1282,jersey club
1283,german alternative rock
1284,german punk
1285,russian rave
1286,bandung indie
1287,indonesian pop punk
1288,australian country
1289,spanish modern rock
1290,spanish noise pop
1291,modern alternative pop
1292,anthem worship
1293,ccm
1294,christian pop
1295,ska mexicano
1296,electric bass
1297,kompa gouyad
1298,spanish indie folk
1299,guatemalan pop
1300,zimdancehall
1301,chamber orchestra
1302,musica capixaba
1303,rap capixaba
1304,dubstep
1305,alternative pop rock
1306,native american
1307,native american contemporary
1308,dong-yo
1309,drill italiana
1310,lithuanian edm
1311,lithuanian electronic
1312,taiwan electronic
1313,welsh rock
