,id,uri,title,name,popularity,genres
7455,3YkZxu7ClLCOqRJG7CxlK7,https://open.spotify.com/artist/3YkZxu7ClLCOqRJG7CxlK7,NK,NK,52,"russian pop,ukrainian pop"
7456,0Awqm7GXGiBp8fJNGvywra,https://open.spotify.com/artist/0Awqm7GXGiBp8fJNGvywra,理想混蛋,理想混蛋,57,"mandopop,taiwan indie"
7457,77OTgmAxSb4RXkL2SyWF73,https://open.spotify.com/artist/77OTgmAxSb4RXkL2SyWF73,廖文強,廖文強,30,taiwan indie
7458,5RmQ8k4l3HZ8JoPb4mNsML,https://open.spotify.com/artist/5RmQ8k4l3HZ8JoPb4mNsML,Agust D,Agust D,71,k-rap
7459,2IZXxSIGhFtkHJyMh6UTln,https://open.spotify.com/artist/2IZXxSIGhFtkHJyMh6UTln,Aiyana-Lee,Aiyana-Lee,43,
7460,3GViqleny7XZGug7Ym2Fjk,https://open.spotify.com/artist/3GViqleny7XZGug7Ym2Fjk,Niko B,Niko B,50,
7461,48nIO59mzn0UWSrh73T43N,https://open.spotify.com/artist/48nIO59mzn0UWSrh73T43N,MANU OLIVA,MANU OLIVA,39,
7462,3LlWsXsjIJmaKmPaB9GIyH,https://open.spotify.com/artist/3LlWsXsjIJmaKmPaB9GIyH,Montano,Montano,47,
7463,5IYRfypwG9BDDh5ZRPI80z,https://open.spotify.com/artist/5IYRfypwG9BDDh5ZRPI80z,Totoy El Frio,Totoy El Frio,74,reggaeton colombiano
7464,0605fwhsaoXYehKQV8u4GQ,https://open.spotify.com/artist/0605fwhsaoXYehKQV8u4GQ,Edmund,Edmund,51,austropop
7465,6sFHvCyqklnJpXC9Nh1aag,https://open.spotify.com/artist/6sFHvCyqklnJpXC9Nh1aag,Alexander 23,Alexander 23,70,"alt z,pop"
7466,4MoAOfV4ROWofLG3a3hhBN,https://open.spotify.com/artist/4MoAOfV4ROWofLG3a3hhBN,Jon Pardi,Jon Pardi,74,"contemporary country,country,country road,modern country rock"
7467,03d2mJXSMtuPI0nIvLnhoS,https://open.spotify.com/artist/03d2mJXSMtuPI0nIvLnhoS,Zoe Wees,Zoe Wees,74,german pop
7468,2P6G4CYRAhpRKMXy097RSL,https://open.spotify.com/artist/2P6G4CYRAhpRKMXy097RSL,Jung,Jung,50,danish pop
7469,7KVgErycN4QQHQnoz9tVWH,https://open.spotify.com/artist/7KVgErycN4QQHQnoz9tVWH,Alma Agger,Alma Agger,30,
7470,1Ii5FXQWFAEVUcB8EUyClW,https://open.spotify.com/artist/1Ii5FXQWFAEVUcB8EUyClW,Emil Wismann,Emil Wismann,6,
7471,62NIfZSZEzS1qvLRWgrQJP,https://open.spotify.com/artist/62NIfZSZEzS1qvLRWgrQJP,Devo,Devo,0,
7472,1X4pa8DnhTS3lTKoxT5S3B,https://open.spotify.com/artist/1X4pa8DnhTS3lTKoxT5S3B,Janni,Janni,2,
7473,4e0nWw2r4BoQSKPQ2zpU13,https://open.spotify.com/artist/4e0nWw2r4BoQSKPQ2zpU13,Ray Dalton,Ray Dalton,65,
7474,7qxo9RTWfEoFKN7XGtNV6V,https://open.spotify.com/artist/7qxo9RTWfEoFKN7XGtNV6V,SECRET NUMBER,SECRET NUMBER,49,k-pop girl group
